MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,ILLUMINATION,WEATHER,ROAD_CONDITION,COLLISION_TYPE,RELATION_TO_ROAD,PERSON_COUNT,VEHICLE_COUNT,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MIN_INJ_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,UNBELTED_OCC_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,COMM_VEH_COUNT,MAX_SEVERITY_LEVEL,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,lat,long,DEC_LAT,DEC_LONG
2215,1,3,1231,12,1,1,0,7,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,40 32:54.082,80 05:08.298,40.5484,-80.0856
2301,4,2,1735,17,1,2,1,3,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,40 25:45.595,79 58:55.218,40.4293,-79.982
2480,5,2,1104,11,1,1,0,8,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,40 36:29.472,80 10:38.506,40.6082,-80.1774
2301,5,6,1130,11,1,1,0,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40 26:52.117,79 56:12.970,40.4478,-79.9369
2104,6,2,2022,20,4,2,1,7,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40 35:44.642,79 46:13.793,40.5957,-79.7705
2126,4,7,915,9,1,1,0,9,1,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,40 27:43.121,80 06:42.368,40.462,-80.1118
2445,1,2,1828,18,3,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 28:24.852,79 58:19.643,40.4723,-79.973
2301,2,4,255,2,3,8,5,7,4,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40 26:44.998,80 02:37.719,40.4458,-80.0438
2301,4,4,2327,23,3,1,0,1,1,2,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,40 24:12.974,80 02:25.552,40.4036,-80.0404
2111,3,2,530,5,1,1,0,4,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40 23:05.027,79 49:27.253,40.3847,-79.8244
2111,5,3,711,7,1,1,0,4,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40 22:45.660,79 48:25.376,40.3794,-79.807
2304,1,7,340,3,3,5,6,7,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 19:55.162,79 50:43.256,40.332,-79.8453
2464,1,2,1700,17,4,1,0,5,6,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 36:06.415,79 44:59.483,40.6018,-79.7499
2301,3,6,952,9,1,1,0,4,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 26:48.100,79 53:43.280,40.4467,-79.8954
2301,5,3,730,7,1,1,0,4,1,5,5,3,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,8,0,0,0,0,0,0,1,0,40 25:34.651,79 57:48.873,40.4263,-79.9636
2476,6,2,1524,15,1,1,0,1,1,3,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,40 21:20.937,80 00:09.581,40.3558,-80.0027
2219,6,7,1235,12,1,1,0,1,1,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,40 17:20.286,80 00:27.255,40.289,-80.0076
2217,1,1,36,0,2,1,6,7,5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,40 37:52.958,79 58:30.890,40.6314,-79.9752
2116,1,2,928,9,1,1,6,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 32:15.110,80 00:29.280,40.5375,-80.0081
2213,1,4,1830,18,3,1,0,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 30:00.157,80 13:19.152,40.5,-80.222
2301,2,1,110,1,3,1,6,7,5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,40 24:16.200,80 01:08.500,40.4045,-80.019
2301,2,3,43,0,3,3,4,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 28:47.051,79 55:59.065,40.4797,-79.9331
2301,3,5,1622,16,1,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 25:39.692,79 55:24.832,40.4277,-79.9236
2415,1,4,818,8,1,1,0,1,1,3,3,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,40 24:57.215,80 05:05.098,40.4159,-80.0847
2113,2,7,332,3,3,1,0,7,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 29:09.142,79 49:14.411,40.4859,-79.8207
2301,3,6,1523,15,1,1,0,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,40 25:42.398,79 55:06.740,40.4284,-79.9185
2435,3,6,1639,16,1,1,0,1,1,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 24:56.219,80 03:35.884,40.4156,-80.06
2301,4,3,815,8,1,4,5,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 26:19.082,79 59:11.313,40.4386,-79.9865
2301,6,4,1101,11,1,1,0,5,1,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 29:10.718,79 54:48.949,40.4862,-79.9133
2207,1,1,1000,10,1,1,0,7,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,40 35:46.259,79 59:04.166,40.5962,-79.9845
2214,3,5,200,2,2,1,0,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 25:35.864,80 17:08.649,40.4266,-80.2857
2301,3,5,2210,22,3,2,1,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,40 28:04.702,80 00:56.674,40.468,-80.0157
2102,4,4,1711,17,1,1,0,1,1,4,3,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,40 23:02.842,80 05:35.786,40.3841,-80.0933
2301,4,3,1411,14,1,1,0,7,5,6,1,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40 28:13.220,79 57:37.840,40.4703,-79.9605
2112,2,1,1135,11,1,1,0,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 31:31.645,79 55:40.147,40.5255,-79.9278
2212,4,4,701,7,5,1,0,7,4,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,40 37:57.509,80 05:51.049,40.6326,-80.0975
2301,5,2,1735,17,1,1,0,4,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 22:55.939,79 59:45.533,40.3822,-79.9959
2446,1,7,619,6,3,8,5,7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 27:30.700,79 46:22.800,40.4585,-79.773
2108,1,5,1618,16,1,1,0,2,1,3,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,40 33:23.240,80 02:20.764,40.5563,-80.0391
2421,2,3,1440,14,1,1,0,7,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 26:15.270,80 04:07.730,40.4376,-80.0688
2420,2,7,701,7,5,4,3,7,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40 31:13.240,80 09:49.650,40.5203,-80.1638
2301,4,3,1722,17,1,1,0,4,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 26:29.094,79 55:24.182,40.4414,-79.9234
2301,6,3,1630,16,1,1,0,1,1,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 26:39.823,79 59:26.446,40.4444,-79.9907
2415,1,5,1632,16,1,1,0,4,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 24:11.941,80 05:29.230,40.4033,-80.0915
2301,3,1,915,9,1,1,0,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,40 26:35.534,80 00:01.216,40.4432,-80.0003
2213,4,6,1431,14,1,1,0,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 30:17.299,80 12:24.420,40.5048,-80.2068
2301,2,3,2150,21,3,1,0,7,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,40 26:29.856,79 59:32.405,40.4416,-79.9923
2445,1,1,1630,16,1,1,1,7,3,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,40 28:42.332,79 58:06.409,40.4784,-79.9684
2416,2,1,1919,19,3,1,0,2,1,2,2,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40 22:25.565,80 00:22.879,40.3738,-80.0064
2301,3,7,230,2,3,1,0,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 27:24.861,79 54:33.789,40.4569,-79.9094
2301,4,3,506,5,3,4,3,4,1,2,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,40 25:12.048,80 02:05.375,40.42,-80.0348
2301,4,2,2008,20,1,1,0,8,1,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40 27:39.175,79 54:54.637,40.4609,-79.9152
2301,6,1,2150,21,3,1,0,1,1,5,2,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40 23:33.208,79 59:49.935,40.3926,-79.9972
2301,1,5,931,9,1,1,0,1,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,40 26:07.253,79 59:57.431,40.4353,-79.9993
2116,1,1,1340,13,1,1,0,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 32:10.130,80 00:37.280,40.5361,-80.0104
2452,2,4,857,8,1,2,1,1,1,3,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40 31:39.617,80 09:44.485,40.5277,-80.1624
2416,2,2,2044,20,3,1,0,1,1,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40 21:37.436,80 01:43.438,40.3604,-80.0287
2481,3,3,640,6,1,1,0,4,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40 33:09.570,80 04:20.710,40.5527,-80.0724
