DEC_LAT,DEC_LONG
40.5728,-80.0369
40.4068,-79.8885
40.4496,-79.951
40.6204,-79.928
40.3549,-79.8789
40.4548,-80.1703
40.4541,-79.7309
40.582,-79.8715
40.5026,-80.2827
40.4177,-79.8798
40.4549,-80.1947
40.4722,-80.0339
40.4697,-80.0271
40.447,-80.1673
40.4656,-79.879
40.4288,-79.9853
40.4001,-79.9207
40.5244,-80.1311
40.606,-79.7546
40.4549,-79.9941
40.494,-79.9472
40.4302,-80.0252
40.4457,-80.0302
40.3929,-79.8098
40.4667,-80.1973
40.4487,-80.0023
40.3926,-80.0493
40.4287,-79.9886
40.4381,-79.9242
40.3828,-80.0103
40.4574,-79.7575
40.4202,-80.0332
40.4537,-79.8741
40.4699,-79.9201
40.5205,-79.8051
40.3831,-79.8276
40.4147,-80.062
40.4536,-79.9153
40.4387,-79.7471
40.395,-80.1019
40.5388,-80.123
40.3576,-80.0856
40.514,-80.2689
40.3887,-79.7656
40.5493,-79.9596
40.5012,-80.1812
40.4692,-80.0661
40.4839,-80.0132
40.4577,-80.1849
40.4894,-79.7075
40.5492,-79.9718
,
40.5119,-80.2714
40.4773,-80.0417
40.5011,-80.1821
40.4347,-79.9954
40.4445,-80.0617
40.4932,-80.0114
40.3953,-79.9974
40.3541,-80.0367
40.4608,-79.8676
40.4841,-79.9613
40.3994,-79.8668
40.3953,-79.9974
40.4798,-79.9433
40.3922,-80.0132
40.5197,-80.17
40.4421,-79.7529
40.3504,-79.9259
40.4795,-80.043
40.4601,-79.8432
40.3683,-79.8167
40.505,-80.1884
40.3525,-79.851
40.3396,-80.0377
40.4748,-80.0067
40.4652,-79.958
40.4154,-79.8481
40.3728,-79.8563
40.3366,-79.8534
40.4422,-79.995
40.618,-80.0556
40.44,-80.0322
40.4489,-80.1628
40.4654,-79.9567
40.5058,-80.2231
40.3231,-80.1446
40.4328,-79.9585
40.4486,-80.0259
40.5816,-80.0543
40.2819,-79.836
40.4288,-79.9332
40.387,-80.0463
40.5415,-79.7993
40.5443,-79.9605
40.6232,-79.9428
40.3369,-79.9492
40.467,-79.9539
40.4507,-80.028
40.4364,-79.9759
40.4556,-79.9728
40.4602,-79.8427
40.462,-79.9389
40.4374,-79.9763
40.4098,-80.0821
40.4698,-79.9637
40.4654,-79.8784
40.4288,-79.982
40.457,-80.1766
40.443,-79.9804
40.4201,-80.0362
40.4593,-79.8845
40.4501,-80.1099
40.4597,-80.0474
40.4432,-80.0397
40.4515,-79.8756
40.6575,-80.0835
40.5408,-79.8161
40.4169,-80.0144
40.396,-79.8998
40.5677,-80.0067
40.4556,-79.943
40.429,-79.9982
40.4304,-79.711
40.4015,-80.0168
40.5034,-79.9473
40.5313,-80.1904
40.4609,-79.8673
40.3421,-79.8008
40.3891,-79.8755
40.4753,-80.0396
40.555,-79.9581
40.4561,-79.8353
40.4544,-79.7113
40.2876,-80.0118
40.4562,-80.1372
40.4705,-79.8591
40.457,-79.8897
40.476,-79.7786
40.4795,-79.8003
40.4502,-79.9045
40.3461,-79.9574
40.3286,-80.0414
40.4424,-80.0032
40.398,-79.9997
40.4156,-80.026
40.4442,-80.1589
40.6412,-79.7744
40.5565,-79.8188
40.4566,-79.8231
40.4426,-80.0242
40.4297,-79.9977
40.3918,-80.0108
40.4074,-79.9141
40.5406,-79.8208
40.5439,-80.1926
40.4482,-79.9869
40.4425,-79.9575
40.3992,-80.0249
40.4413,-79.9636
40.4498,-79.827
40.4609,-79.872
40.5672,-80.0181
40.5396,-80.123
40.4515,-79.8682
40.427,-79.9203
40.5792,-79.9576
40.384,-79.9954
40.385,-79.8627
40.3105,-79.9498
40.3477,-79.9518
40.4441,-79.7393
40.4416,-79.9941
,
40.4227,-79.93
40.4933,-79.8814
40.3377,-80.0191
40.4567,-79.8879
40.4249,-79.8882
40.3672,-79.8478
40.6188,-79.8337
40.4288,-79.9387
40.4687,-79.9595
40.4293,-79.9992
40.5153,-79.8541
40.4728,-80.1164
40.6016,-80.0492
40.4246,-79.9283
40.4672,-80.2755
40.2696,-79.8845
40.4517,-80.0279
40.4117,-80.0266
40.6334,-80.0951
40.5153,-80.0089
40.4928,-80.0218
40.3394,-79.9679
40.4483,-80.0043
40.5375,-79.8395
40.4371,-79.9986
40.465,-79.9071
40.4496,-80.195
40.4381,-79.923
40.5219,-79.8422
40.373,-80.0993
40.4453,-79.7981
40.4106,-80.0725
40.4423,-79.8236
40.451,-80.1651
40.3559,-80.0282
40.3787,-80.2166
40.456,-79.9917
40.335,-79.8115
40.4035,-79.9923
40.4154,-80.0841
40.5489,-80.1203
40.5579,-80.2047
40.494,-79.9502
40.4287,-79.9898
40.4504,-79.9487
40.4436,-79.994
40.3541,-79.9145
40.443,-79.7637
40.4556,-79.897
40.4128,-80.0288
40.5816,-79.9218
40.583,-80.0388
40.4777,-79.7855
40.3053,-79.9343
40.5641,-80.0096
40.434,-79.7524
40.4698,-79.9996
40.4697,-80.0684
40.384,-80.2113
40.4842,-79.8193
40.3848,-79.959
40.459,-79.9855
40.6711,-80.1105
40.4355,-79.9836
40.5887,-80.2037
40.4377,-79.9726
40.4292,-79.9407
40.4597,-79.9258
40.4759,-80.0315
40.5682,-80.0222
40.3598,-79.9035
40.4324,-80.1562
40.6254,-79.9203
40.3545,-80.1148
40.4532,-79.9729
40.5089,-80.2028
40.6314,-79.9759
40.4547,-79.7157
40.6059,-80.0513
40.4507,-80.1277
40.5133,-80.2783
40.4252,-80.122
40.4163,-79.942
40.6468,-80.0733
40.3302,-80.0219
40.3434,-79.9198
40.61,-80.0533
40.449,-80.0217
40.35,-80.1484
40.4217,-79.8428
40.5205,-79.8312
40.5545,-80.0212
40.4016,-80.0024
40.5036,-80.081
40.4723,-79.973
40.3897,-79.9348
40.4536,-79.893
40.4289,-79.9326
40.4569,-79.9988
40.4219,-79.9838
40.4366,-79.9624
40.4408,-80.0068
40.4409,-80.0093
40.4973,-80.0544
40.4534,-80.0245
40.5304,-80.0703
40.4474,-79.9425
40.6212,-79.8348
40.3698,-80.0605
40.4091,-80.0321
40.4279,-79.9807
40.4594,-79.9109
40.4944,-79.9421
40.4441,-80.0281
40.6571,-80.0896
40.5865,-79.994
40.3476,-80.0496
40.4491,-80.1194
40.3506,-79.8699
40.4287,-80.024
40.4269,-80.0024
40.3582,-79.8318
40.2199,-79.846
40.4394,-80.192
40.4078,-79.9435
40.5501,-79.9978
40.3998,-80.0242
40.4577,-79.9988
40.3484,-79.9448
40.4386,-80.0057
40.3629,-79.9637
40.411,-80.0059
40.4301,-80.0041
40.4749,-80.0594
40.3665,-80.0147
40.411,-79.9189
40.4704,-80.0037
40.4526,-79.9374
40.4178,-80.0553
